title,category,cuisine,ingredients,prep_time_min,cook_time_min,total_time_min,serves,difficulty,vegetarian,summary,instructions,difficulty rating
Herb Chicken Rice Bowl,entree,American,"['chicken breast', 'olive oil', 'rice']",10,10,20,6,easy,False,A savory weeknight entree built around chicken with rice bowl.,1. Prep the chicken breast and gather the other ingredients. 2. Cook the rice or grain until tender. 3. Cook the chicken breast with olive oil and rice until fully cooked. 4. Layer everything in a bowl and serve hot.,1
Garlic Chicken Rice Bowl,entree,American,"['chicken breast', 'olive oil', 'rice', 'garlic']",20,10,30,2,easy,False,A savory weeknight entree built around chicken with rice bowl.,1. Prep the chicken breast and gather the other ingredients. 2. Cook the rice or grain until tender. 3. Cook the chicken breast with olive oil and rice until fully cooked. 4. Layer everything in a bowl and serve hot.,1
Smoky Chicken Rice Bowl,entree,American,"['chicken breast', 'olive oil', 'rice', 'garlic powder', 'garlic']",12,10,22,6,easy,False,A hearty and simple main dish built around chicken with rice bowl.,1. Prep the chicken breast and gather the other ingredients. 2. Cook the rice or grain until tender. 3. Cook the chicken breast with olive oil and rice until fully cooked. 4. Layer everything in a bowl and serve hot.,2
Lemon Pepper Chicken Rice Bowl,entree,American,"['chicken breast', 'olive oil', 'rice', 'butter', 'garlic powder', 'garlic']",12,10,22,6,easy,False,A comfort-food style dinner built around chicken with rice bowl.,1. Prep the chicken breast and gather the other ingredients. 2. Cook the rice or grain until tender. 3. Cook the chicken breast with olive oil and rice until fully cooked. 4. Layer everything in a bowl and serve hot.,2
Roasted Chicken Rice Bowl,entree,American,"['chicken breast', 'olive oil', 'rice', 'onion', 'garlic powder', 'paprika', 'garlic']",10,10,20,4,easy,False,A hearty and simple main dish built around chicken with rice bowl.,1. Prep the chicken breast and gather the other ingredients. 2. Cook the rice or grain until tender. 3. Cook the chicken breast with olive oil and rice until fully cooked. 4. Layer everything in a bowl and serve hot.,2
Homestyle Chicken Rice Bowl,entree,American,"['chicken breast', 'olive oil', 'rice', 'spinach', 'onion', 'butter', 'garlic powder', 'garlic']",20,10,30,6,easy,False,A comfort-food style dinner built around chicken with rice bowl.,1. Prep the chicken breast and gather the other ingredients. 2. Cook the rice or grain until tender. 3. Cook the chicken breast with olive oil and rice until fully cooked. 4. Layer everything in a bowl and serve hot.,3
Chipotle Chicken Rice Bowl,entree,Mexican,"['chicken breast', 'olive oil', 'rice', 'spinach', 'tomato', 'onion', 'lime', 'jalapeno', 'garlic']",20,10,30,4,easy,False,A bold and zesty main dish built around chicken with rice bowl.,1. Prep the chicken breast and gather the other ingredients. 2. Cook the rice or grain until tender. 3. Cook the chicken breast with olive oil and rice until fully cooked. 4. Layer everything in a bowl and serve hot.,3
Cilantro Lime Chicken Rice Bowl,entree,Mexican,"['chicken breast', 'olive oil', 'salt', 'black pepper', 'rice', 'cabbage', 'carrot', 'green onion', 'lime', 'garlic']",20,10,30,6,easy,False,A bold and zesty main dish built around chicken with rice bowl.,1. Prep the chicken breast and gather the other ingredients. 2. Cook the rice or grain until tender. 3. Cook the chicken breast with olive oil and salt until fully cooked. 4. Layer everything in a bowl and serve hot.,3
Spicy Chicken Rice Bowl,entree,Mexican,"['chicken breast', 'olive oil', 'rice', 'garlic']",18,10,28,4,easy,False,A family-friendly taco night style meal built around chicken with rice bowl.,1. Prep the chicken breast and gather the other ingredients. 2. Cook the rice or grain until tender. 3. Cook the chicken breast with olive oil and rice until fully cooked. 4. Layer everything in a bowl and serve hot.,1
Smoky Chicken Eggplant Rice Bowl,entree,Mexican,"['chicken breast', 'olive oil', 'rice', 'cumin', 'garlic']",12,10,22,6,easy,False,A bold and zesty main dish built around chicken with rice bowl.,1. Prep the chicken breast and gather the other ingredients. 2. Cook the rice or grain until tender. 3. Cook the chicken breast with olive oil and rice until fully cooked. 4. Layer everything in a bowl and serve hot.,2
