title,category,cuisine,ingredients,prep_time_min,cook_time_min,total_time_min,serves,difficulty,vegetarian,summary
Herb Chicken Rice Bowl,entree,American,"['chicken breast', 'olive oil', 'rice']",10,10,20,6,easy,False,A savory weeknight entree built around chicken with rice bowl.
Garlic Chicken Rice Bowl,entree,American,"['chicken breast', 'olive oil', 'rice', 'garlic']",20,10,30,2,easy,False,A savory weeknight entree built around chicken with rice bowl.
Smoky Chicken Rice Bowl,entree,American,"['chicken breast', 'olive oil', 'rice', 'garlic powder', 'garlic']",12,10,22,6,easy,False,A hearty and simple main dish built around chicken with rice bowl.
Lemon Pepper Chicken Rice Bowl,entree,American,"['chicken breast', 'olive oil', 'rice', 'butter', 'garlic powder', 'garlic']",12,10,22,6,easy,False,A comfort-food style dinner built around chicken with rice bowl.
Roasted Chicken Rice Bowl,entree,American,"['chicken breast', 'olive oil', 'rice', 'onion', 'garlic powder', 'paprika', 'garlic']",10,10,20,4,easy,False,A hearty and simple main dish built around chicken with rice bowl.
Homestyle Chicken Rice Bowl,entree,American,"['chicken breast', 'olive oil', 'rice', 'spinach', 'onion', 'butter', 'garlic powder', 'garlic']",20,10,30,6,easy,False,A comfort-food style dinner built around chicken with rice bowl.
Chipotle Chicken Rice Bowl,entree,Mexican,"['chicken breast', 'olive oil', 'rice', 'spinach', 'tomato', 'onion', 'lime', 'jalapeno', 'garlic']",20,10,30,4,easy,False,A bold and zesty main dish built around chicken with rice bowl.
Cilantro Lime Chicken Rice Bowl,entree,Mexican,"['chicken breast', 'olive oil', 'salt', 'black pepper', 'rice', 'cabbage', 'carrot', 'green onion', 'lime', 'garlic']",20,10,30,6,easy,False,A bold and zesty main dish built around chicken with rice bowl.
Spicy Chicken Rice Bowl,entree,Mexican,"['chicken breast', 'olive oil', 'rice', 'garlic']",18,10,28,4,easy,False,A family-friendly taco night style meal built around chicken with rice bowl.
Smoky Chicken Eggplant Rice Bowl,entree,Mexican,"['chicken breast', 'olive oil', 'rice', 'cumin', 'garlic']",12,10,22,6,easy,False,A bold and zesty main dish built around chicken with rice bowl.
Salsa Verde Chicken Rice Bowl,entree,Mexican,"['chicken breast', 'olive oil', 'rice', 'broccoli', 'cumin', 'garlic']",20,10,30,4,easy,False,A family-friendly taco night style meal built around chicken with rice bowl.
