total_time,crawled_at,ingredients,url,breadcrumbs,title,yield,summary,source,cooking_time,prep_time,servings,images,_id,instructions
22 mins,2021-04-22 22:26:19,"['½ (16 ounce) package graham crackers', '2 cups chopped pecans', '½ cup white sugar', '½ cup butter', '½ cup margarine']",https://www.allrecipes.com/recipe/22330/pecan-crackers/,"Recipes, Dessert Recipes, Nut Dessert Recipes, Pecan Dessert Recipes",Pecan Crackers,2 dozen,I got this recipe from a lady at church. It is a great finger food and is easy to prepare. ,https://www.allrecipes.com,12 mins,10 mins,25,"['https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F904303.jpg', 'https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F5258378.jpg', 'https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F14004.jpg', 'https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F4586879.jpg']",7d7a3c8f-a969-5f64-b7d5-35dc760fb095,"['Preheat oven to 350 degrees F (175 degrees C).', 'Line a baking sheet with graham crackers.  Sprinkle evenly with pecans.', 'In a small saucepan over medium heat, combine sugar, butter and margarine.  Bring to a boil and boil 3 minutes.  Remove from heat and spoon mixture over pecans, coating well.', 'Bake in preheated oven 12 minutes, until golden.  Cool completely before serving.']"
12 mins,2021-04-22 22:26:21,"['1 tablespoon butter, softened', '1 tablespoon white sugar', '2 tablespoons all-purpose flour', '2 tablespoons oats', '4 dashes ground cinnamon, divided', '1 pinch salt', '½  apple - peeled, cored, and thinly sliced', '1 tablespoon brown sugar', '2 teaspoons water']",https://www.allrecipes.com/recipe/259201/apple-crisp-in-a-mug/,"Recipes, Dessert Recipes, Fruit Dessert Recipes, Apple Dessert Recipes",Apple Crisp in a Mug,1 mug,"This is a great, quick, and easy apple crisp with no cleanup. The apples are soft with a little crispness and mix great with the crumble topping. You can serve this to any of your family and friends! ",https://www.allrecipes.com,2 mins,10 mins,1,"['https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F5679558.jpg', 'https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F4561708.jpg']",31c97b18-84e4-5a2e-8b66-17b385337705,"['Combine butter and white sugar in a bowl using your fingers. Add flour, oats, 3 dashes cinnamon, and salt; mix until crumbly.', 'Grease a mug; flatten 1/2 the crumble mixture into the bottom to form a crust.', 'Microwave crust for 30 seconds on high.', 'Remove mug from microwave; add 1 dash cinnamon, apple slices, and brown sugar. Add water. Mix apples, brown sugar, and cinnamon together carefully without disturbing crust. Pour remaining crumble mixture on top.', 'Microwave for 1 minute and 50 seconds on 60% power. Remove from microwave; let cool about 1 minute.']"
2 hrs,2021-04-22 22:26:23,"['1 (18.25 ounce) package yellow cake mix', '½ cup melted butter', '3  eggs', '3 cups pumpkin pie filling', '⅔ cup milk', '¼ cup white sugar', '1 teaspoon ground cinnamon', '¼ cup butter']",https://www.allrecipes.com/recipe/11418/pumpkin-pie-bars/,"Recipes, Fruits and Vegetables, Vegetables, Squash",Pumpkin Pie Bars,1 9x13-inch pan,"These bars are very easy to make and taste like pumpkin pie with a streusel topping. Serve with whipped cream, if desired. ",https://www.allrecipes.com,45 mins,15 mins,24,"['https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F2920216.jpg', 'https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F5841924.jpg', 'https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F8616294.jpg', 'https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1044090.jpg']",8be3d3c4-6b16-5dfc-9575-c19abeb8197d,"['Preheat oven to 350 degrees F (190 degrees C). Grease the bottom of a 9x13 inch pan.', 'Pour one cup of yellow cake mix into a medium size mixing bowl; set aside.', 'Combine remaining cake mix, 1/2 cup melted butter and 1 egg; mix well. Press into the baking pan.', 'Combine pumpkin pie filling, 2 eggs and milk in a medium size mixing bowl; mix until smooth. Pour evenly over the crust in the 9x13 inch pan.', 'Pour the sugar and cinnamon into the mixing bowl containing the 1 cup of yellow cake mix. Cut in the butter until the mixture looks crumbly. Sprinkle this mixture over the pumpkin filling.', 'Bake for 45 to 50 minutes or until a knife inserted into the bars come out clean. Let cool before slicing.']"
30 mins,2021-04-22 22:26:25,"['1 cup shortening', '1 cup creamy almond butter', '1 cup packed brown sugar', '1 cup white sugar', '2 tablespoons hot water', '1 teaspoon baking soda', '½ teaspoon salt', '2  eggs', '1 teaspoon vanilla extract', '2\u2009½ cups all-purpose flour']",https://www.allrecipes.com/recipe/231552/chewy-almond-butter-cookies/,"Recipes, Dessert Recipes, Nut Dessert Recipes, Almond Dessert Recipes",Chewy Almond Butter Cookies,2 dozen,"This a recipe for those who cannot eat peanut butter like myself, but want a cookie that is similar. ",https://www.allrecipes.com,10 mins,20 mins,24,"['https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1188914.jpg', 'https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1593442.jpg', 'https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1067970.jpg', 'https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F2268414.jpg']",b4460401-17a7-5dbc-93ca-c4bd53d16817,"['Preheat oven to 375 degrees F (190 degrees C).', 'Beat shortening, almond butter, brown sugar, and white sugar in a bowl until smooth. Combine hot water, baking soda, and salt together in another bowl; stir into almond butter mixture until creamy. Add eggs and vanilla extract; beat until blended. Gradually stir in flour until dough is just blended.', 'Roll the dough into walnut-sized balls and place 2 inches apart onto ungreased baking sheets. Press and flatten balls with a fork to create a crosshatch pattern.', 'Bake in preheated oven until golden brown, 8 to 12 minutes.']"
50 mins,2021-04-22 22:26:26,"['½ cup good-quality unsweetened cocoa (such as Guittard Cocoa Rouge), not packed', '½ cup real maple syrup', '1 teaspoon vanilla extract', '1 pinch salt', '½ cup refined coconut oil, melted', '½ cup chopped walnuts', '1 teaspoon unsweetened cocoa powder for dusting, or as needed']",https://www.allrecipes.com/recipe/235900/chef-johns-christmas-miracle-fudge/,"Recipes, Dessert Recipes, Candy Recipes, Fudge Recipes, Chocolate",Chef John's Christmas Miracle Fudge,24 pieces,"It's appropriate to call this Miracle Fudge because of how it's made. This is 100% vegan, is absolutely delicious, and will make a beautiful holiday gift. ",https://www.allrecipes.com,5 mins,15 mins,24,['https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1111636.jpg'],89dfed3b-2b59-5e55-839f-86283a01bdfa,"['Place 1/2 cup cocoa powder into a mixing bowl and stir in maple syrup, vanilla extract, and salt. Pour in melted coconut oil and stir until thoroughly combined. Continue to stir until coconut oil hardens and the mixture looks grainy and thick.', 'Place walnuts into a dry skillet over medium heat; shake skillet until walnuts are hot and smell nutty and fragrant, 30 seconds to 1 minute. Turn off heat and let walnuts cool slightly, about 1 more minute.', ""Stir warm walnuts into fudge; mixture will soften from the walnuts' heat. Stir fudge until smooth and glossy."", 'Pour fudge into a silicone mold for making small ice cubes. Scrape any excess fudge back into the mixing bowl. Smooth the tops of the fudge pieces.', 'Wrap mold in plastic wrap and freeze until fudge is firm and set, at least 30 minutes. Remove plastic wrap and pop each fudge piece out of the mold. Dust pieces lightly with 1 teaspoon cocoa powder before serving or packaging as gifts. Serve cold; freeze leftovers.']"
15 mins,2021-04-22 22:26:28,"['1 cup half-and-half cream', '2 tablespoons white sugar', '1 teaspoon vanilla extract', '¼ cup chopped fresh strawberries', '4 cups ice cubes', '¼ cup kosher salt']",https://www.allrecipes.com/recipe/144185/fresh-fruit-ice-cream-in-a-baggie/,"Recipes, Dessert Recipes, Frozen Dessert Recipes, 100+ Ice Cream Recipes",Fresh Fruit Ice Cream in a Baggie,1 Serving,Homemade ice cream without the ice cream freezer.  Great for dorm rooms!  Delicious way to use your fresh seasonal fruit. ,https://www.allrecipes.com,,5 mins,1,"['https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F8431767.jpg', 'https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F7434136.jpg', 'https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F5848296.jpg', 'https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F374030.jpg']",4411473b-664e-5b41-a622-af028c21a91b,"['Combine the half and half, sugar, vanilla, and strawberries in a quart size resealable plastic bag. Press the air out of the bag, seal, and shake bag to combine contents. Place the bag into a gallon sized zip top bag. Add the ice to the gallon bag, press the air out, and seal bag.', 'Wrap bags in a hand towel. Shake continuously, until the contents of the small bag thickens into soft-serve ice cream, 5 to 10 minutes.', 'Rinse the small bag quickly under cold water to wash off salt. Lay the ice cream filled baggie on a flat surface. Use a wooden spoon handle to push the ice cream down to the bottom corner of the baggie. Snip off the corner, and squeeze ice cream into a bowl.']"
11 mins,2021-04-22 22:26:30,"['1 tablespoon butter, softened', '2 tablespoons white sugar', '½  beaten egg', '2 tablespoons sour cream', '2 drops vanilla extract, or more to taste', '¼ cup all-purpose flour', '⅛ teaspoon baking powder', '2 tablespoons all-purpose flour', '1 tablespoon brown sugar', '1 teaspoon cinnamon', '1 tablespoon butter']",https://www.allrecipes.com/recipe/222363/coffee-mug-cake/,"Recipes, Dessert Recipes, Cakes",Coffee Mug Cake,1 cake,"A quick, single serving of cake that can be made using any of your favorite flavors. Great, easy recipe for kids to make for themselves. You can get creative with flavors here. Add in cocoa powder, your favorite flavor extract, or a couple teaspoons of your favorite pie filling. Go nuts! ",https://www.allrecipes.com,1 min,10 mins,1,"['https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F2899333.jpg', 'https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F2605746.jpg', 'https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F9017485.jpg', 'https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1015873.jpg']",7086b86a-0eb9-540d-8040-5b8400a38534,"['Stir 1 tablespoon softened butter and white sugar together in a coffee mug until fluffy; stir egg, sour cream, and vanilla extract into the butter mixture. Add 1/4 cup flour and baking powder into the mixture; stir until smooth.', 'Mix 2 tablespoons flour, brown sugar, and cinnamon together in a bowl. Mash 1 tablespoon butter into the flour mixture with a fork or pastry cutter until mixture is crumbly; sprinkle over the cake batter in the mug.', 'Cook in microwave oven on high for 1 minute. Continue cooking in 10-second intervals until a toothpick inserted into the middle comes out clean.']"
10 mins,2021-04-22 22:26:31,"['½ cup semi-sweet chocolate chips', '3 tablespoons heavy cream', '2 cups pecan halves']",https://www.allrecipes.com/recipe/72580/chocolate-covered-pecans/,"Recipes, Dessert Recipes, Nut Dessert Recipes, Pecan Dessert Recipes",Chocolate Covered Pecans,2 cups,Pecan halves are completely covered in chocolate. An easy and delicious treat that also makes a great gift. ,https://www.allrecipes.com,5 mins,5 mins,2,['https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F308078.jpg'],daf994ba-e3f9-56d5-b1c6-e81eccd4f836,"['Combine the chocolate chips and cream in a medium metal bowl, and set on top of a pan of simmering water. Stir occasionally until melted and smooth. Remove from heat.  Stir pecan halves into the chocolate until completely coated.', 'Remove a few pecans at a time with a slotted spoon. Separate pecan halves and place onto a waxed paper lined cookie sheet. Refrigerate for 10 minutes to set.']"
10 mins,2021-04-22 22:26:33,"['1 cup semisweet chocolate chips', '2 tablespoons water', '1 (16 ounce) package firm tofu, drained', '¼ cup soy milk', '1 tablespoon vanilla extract']",https://www.allrecipes.com/recipe/17443/tofu-chocolate-pudding/,"Recipes, 100+ Everyday Cooking Recipes, Vegetarian, Protein, Tofu",Tofu Chocolate Pudding,6 servings,A creamy chocolate pudding using tofu. ,https://www.allrecipes.com,,10 mins,6,"['https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F822782.jpg', 'https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F822774.jpg', 'https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F130747.jpg', 'https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F41695.jpg']",0920ff1c-7018-5aae-815f-0042f1731703,"['Melt the chocolate with water in a heavy saucepan or double boiler.', 'In an electric blender or food processor, combine tofu with the melted chocolate, milk, and vanilla extract. Process until the mixture is smooth. Chill for approximately one hour, and serve!']"
20 mins,2021-04-22 22:26:36,"['¼ cup vegetable oil for frying, or as needed', '1\u2009¼ cups all-purpose flour, or more if needed', '½ cup white sugar', '½ cup water', '½ cup milk', '1  egg', '1 tablespoon baking powder', '1 teaspoon vanilla extract', '½ teaspoon salt']",https://www.allrecipes.com/recipe/244535/worlds-best-funnel-cakes/,"Recipes, Bread, Quick Bread Recipes",World's Best Funnel Cakes,1 cake,"Whether it's in the morning, lunch, or afternoon, this recipe makes a good snack. Top with confectioners' sugar! ",https://www.allrecipes.com,10 mins,10 mins,4,"['https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F3910963.jpg', 'https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F6592394.jpg', 'https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F7003919.jpg', 'https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F6616462.jpg']",f15e9ae0-fd42-5a90-bad9-f6072db2dcf2,"['Pour enough oil into a skillet to completely coat the bottom and heat over medium-high heat.', 'Blend flour, sugar, water, milk, egg, baking powder, vanilla extract, and salt together in a blender until smooth. Add more flour if batter is too watery. Put your finger over the hole of a funnel and fill funnel with batter.', 'Hover filled funnel over the skillet, release finger, and swirl batter into the hot oil; cook until golden brown, about 5 minutes per side.']"
