title,category,cuisine,ingredients,prep_time_min,cook_time_min,total_time_min,serves,difficulty,vegetarian,summary,instructions,difficulty_rating
Quick Cabbage and Chicken Breast Plate,entree,American,"['chicken breast', 'rice', 'cabbage', 'butter', 'soy sauce']",9,22,31,4,medium,False,A straightforward american dish featuring chicken breast and cabbage.,1. Chop the cabbage and prep the chicken breast. 2. Cook the rice according to package directions. 3. Sauté the chicken breast and cabbage until fully cooked. 4. Combine all ingredients together and serve hot.,2
Simple Eggs Rice Bowl,entree,Mediterranean,"['eggs', 'rice', 'broccoli', 'cheese', 'olive oil']",10,14,24,2,easy,True,A straightforward mediterranean dish featuring eggs and broccoli.,1. Chop the broccoli and prep the eggs. 2. Cook the rice according to package directions. 3. Sauté the eggs and broccoli until fully cooked. 4. Combine all ingredients together and serve hot.,2
Simple Shrimp Potatoes Bowl,entree,American,"['shrimp', 'potatoes', 'onion', 'olive oil', 'butter']",6,21,27,4,easy,False,A straightforward american dish featuring shrimp and onion.,1. Chop the onion and prep the shrimp. 2. Cook the potatoes according to package directions. 3. Sauté the shrimp and onion until fully cooked. 4. Combine all ingredients together and serve hot.,2
Simple Salmon Noodles Bowl,entree,Mediterranean,"['salmon', 'noodles', 'mushrooms']",15,16,31,2,medium,False,A straightforward mediterranean dish featuring salmon and mushrooms.,1. Chop the mushrooms and prep the salmon. 2. Cook the noodles according to package directions. 3. Sauté the salmon and mushrooms until fully cooked. 4. Combine all ingredients together and serve hot.,3
Quick Carrots and Chickpeas Plate,entree,American,"['chickpeas', 'tortillas', 'carrots', 'garlic']",9,10,19,2,easy,True,A straightforward american dish featuring chickpeas and carrots.,1. Chop the carrots and prep the chickpeas. 2. Cook the tortillas according to package directions. 3. Sauté the chickpeas and carrots until fully cooked. 4. Combine all ingredients together and serve hot.,1
Simple Beef Strips Tortillas Bowl,entree,American,"['beef strips', 'tortillas', 'zucchini']",9,23,32,2,medium,False,A straightforward american dish featuring beef strips and zucchini.,1. Chop the zucchini and prep the beef strips. 2. Cook the tortillas according to package directions. 3. Sauté the beef strips and zucchini until fully cooked. 4. Combine all ingredients together and serve hot.,2
Simple Pork Chops Rice Bowl,entree,Asian,"['pork chops', 'rice', 'mushrooms']",7,18,25,2,easy,False,A straightforward asian dish featuring pork chops and mushrooms.,1. Chop the mushrooms and prep the pork chops. 2. Cook the rice according to package directions. 3. Sauté the pork chops and mushrooms until fully cooked. 4. Combine all ingredients together and serve hot.,2
Quick Spinach and Beef Strips Plate,entree,American,"['beef strips', 'tortillas', 'spinach']",10,24,34,2,medium,False,A straightforward american dish featuring beef strips and spinach.,1. Chop the spinach and prep the beef strips. 2. Cook the tortillas according to package directions. 3. Sauté the beef strips and spinach until fully cooked. 4. Combine all ingredients together and serve hot.,3
Chickpeas with Peas and Quinoa,entree,American,"['chickpeas', 'quinoa', 'peas', 'teriyaki sauce']",8,22,30,4,medium,True,A straightforward american dish featuring chickpeas and peas.,1. Chop the peas and prep the chickpeas. 2. Cook the quinoa according to package directions. 3. Sauté the chickpeas and peas until fully cooked. 4. Combine all ingredients together and serve hot.,3
Tofu with Cabbage and Potatoes,entree,Asian,"['tofu', 'potatoes', 'cabbage', 'hot sauce', 'garlic']",9,21,30,4,medium,True,A straightforward asian dish featuring tofu and cabbage.,1. Chop the cabbage and prep the tofu. 2. Cook the potatoes according to package directions. 3. Sauté the tofu and cabbage until fully cooked. 4. Combine all ingredients together and serve hot.,3
Quick Mushrooms and Beef Strips Plate,entree,American,"['beef strips', 'rice', 'mushrooms']",6,15,21,4,easy,False,A straightforward american dish featuring beef strips and mushrooms.,1. Chop the mushrooms and prep the beef strips. 2. Cook the rice according to package directions. 3. Sauté the beef strips and mushrooms until fully cooked. 4. Combine all ingredients together and serve hot.,2
Simple Lentils Quinoa Bowl,entree,American,"['lentils', 'quinoa', 'onion', 'ginger']",11,13,24,4,easy,True,A straightforward american dish featuring lentils and onion.,1. Chop the onion and prep the lentils. 2. Cook the quinoa according to package directions. 3. Sauté the lentils and onion until fully cooked. 4. Combine all ingredients together and serve hot.,2
Beef Strips with Cabbage and Sweet Potatoes,entree,American,"['beef strips', 'sweet potatoes', 'cabbage']",5,13,18,2,easy,False,A straightforward american dish featuring beef strips and cabbage.,1. Chop the cabbage and prep the beef strips. 2. Cook the sweet potatoes according to package directions. 3. Sauté the beef strips and cabbage until fully cooked. 4. Combine all ingredients together and serve hot.,1
Eggs with Zucchini and Bread,entree,Mexican,"['eggs', 'bread', 'zucchini', 'soy sauce', 'teriyaki sauce']",12,20,32,4,medium,True,A straightforward mexican dish featuring eggs and zucchini.,1. Chop the zucchini and prep the eggs. 2. Cook the bread according to package directions. 3. Sauté the eggs and zucchini until fully cooked. 4. Combine all ingredients together and serve hot.,2
Shrimp with Bell Pepper and Bread,entree,Mediterranean,"['shrimp', 'bread', 'bell pepper', 'butter']",11,10,21,4,easy,False,A straightforward mediterranean dish featuring shrimp and bell pepper.,1. Chop the bell pepper and prep the shrimp. 2. Cook the bread according to package directions. 3. Sauté the shrimp and bell pepper until fully cooked. 4. Combine all ingredients together and serve hot.,2
Simple Chicken Breast Quinoa Bowl,entree,Mexican,"['chicken breast', 'quinoa', 'zucchini', 'soy sauce', 'garlic']",13,21,34,4,medium,False,A straightforward mexican dish featuring chicken breast and zucchini.,1. Chop the zucchini and prep the chicken breast. 2. Cook the quinoa according to package directions. 3. Sauté the chicken breast and zucchini until fully cooked. 4. Combine all ingredients together and serve hot.,2
Quick Broccoli and Beef Strips Plate,entree,Asian,"['beef strips', 'bread', 'broccoli', 'teriyaki sauce', 'olive oil']",7,10,17,4,easy,False,A straightforward asian dish featuring beef strips and broccoli.,1. Chop the broccoli and prep the beef strips. 2. Cook the bread according to package directions. 3. Sauté the beef strips and broccoli until fully cooked. 4. Combine all ingredients together and serve hot.,1
Quick Cabbage and Shrimp Plate,entree,American,"['shrimp', 'pasta', 'cabbage', 'garlic']",6,11,17,2,easy,False,A straightforward american dish featuring shrimp and cabbage.,1. Chop the cabbage and prep the shrimp. 2. Cook the pasta according to package directions. 3. Sauté the shrimp and cabbage until fully cooked. 4. Combine all ingredients together and serve hot.,1
Simple Eggs Bread Bowl,entree,Italian,"['eggs', 'bread', 'broccoli', 'garlic', 'lemon juice']",9,22,31,2,medium,True,A straightforward italian dish featuring eggs and broccoli.,1. Chop the broccoli and prep the eggs. 2. Cook the bread according to package directions. 3. Sauté the eggs and broccoli until fully cooked. 4. Combine all ingredients together and serve hot.,2
Simple Beef Strips Sweet Potatoes Bowl,entree,American,"['beef strips', 'sweet potatoes', 'peas', 'cheese', 'garlic']",14,20,34,2,medium,False,A straightforward american dish featuring beef strips and peas.,1. Chop the peas and prep the beef strips. 2. Cook the sweet potatoes according to package directions. 3. Sauté the beef strips and peas until fully cooked. 4. Combine all ingredients together and serve hot.,3
Tofu with Tomatoes and Quinoa,entree,American,"['tofu', 'quinoa', 'tomatoes', 'hot sauce', 'olive oil']",10,12,22,4,easy,True,A straightforward american dish featuring tofu and tomatoes.,1. Chop the tomatoes and prep the tofu. 2. Cook the quinoa according to package directions. 3. Sauté the tofu and tomatoes until fully cooked. 4. Combine all ingredients together and serve hot.,2
Simple Salmon Rice Bowl,entree,Italian,"['salmon', 'rice', 'onion', 'garlic', 'soy sauce']",12,13,25,2,easy,False,A straightforward italian dish featuring salmon and onion.,1. Chop the onion and prep the salmon. 2. Cook the rice according to package directions. 3. Sauté the salmon and onion until fully cooked. 4. Combine all ingredients together and serve hot.,2
Quick Spinach and Beef Strips Plate,entree,Mediterranean,"['beef strips', 'potatoes', 'spinach', 'lemon juice', 'butter']",9,12,21,2,easy,False,A straightforward mediterranean dish featuring beef strips and spinach.,1. Chop the spinach and prep the beef strips. 2. Cook the potatoes according to package directions. 3. Sauté the beef strips and spinach until fully cooked. 4. Combine all ingredients together and serve hot.,2
Salmon with Broccoli and Bread,entree,Mexican,"['salmon', 'bread', 'broccoli', 'ginger', 'olive oil']",10,20,30,4,medium,False,A straightforward mexican dish featuring salmon and broccoli.,1. Chop the broccoli and prep the salmon. 2. Cook the bread according to package directions. 3. Sauté the salmon and broccoli until fully cooked. 4. Combine all ingredients together and serve hot.,2
Black Beans with Cabbage and Potatoes,entree,Mediterranean,"['black beans', 'potatoes', 'cabbage']",9,10,19,2,easy,True,A straightforward mediterranean dish featuring black beans and cabbage.,1. Chop the cabbage and prep the black beans. 2. Cook the potatoes according to package directions. 3. Sauté the black beans and cabbage until fully cooked. 4. Combine all ingredients together and serve hot.,1
Simple Chickpeas Noodles Bowl,entree,Mexican,"['chickpeas', 'noodles', 'broccoli', 'teriyaki sauce', 'garlic']",7,24,31,4,medium,True,A straightforward mexican dish featuring chickpeas and broccoli.,1. Chop the broccoli and prep the chickpeas. 2. Cook the noodles according to package directions. 3. Sauté the chickpeas and broccoli until fully cooked. 4. Combine all ingredients together and serve hot.,3
Quick Tomatoes and Chicken Breast Plate,entree,American,"['chicken breast', 'potatoes', 'tomatoes', 'soy sauce', 'hot sauce']",13,24,37,4,medium,False,A straightforward american dish featuring chicken breast and tomatoes.,1. Chop the tomatoes and prep the chicken breast. 2. Cook the potatoes according to package directions. 3. Sauté the chicken breast and tomatoes until fully cooked. 4. Combine all ingredients together and serve hot.,2
Quick Bell Pepper and Tofu Plate,entree,American,"['tofu', 'quinoa', 'bell pepper']",6,23,29,4,easy,True,A straightforward american dish featuring tofu and bell pepper.,1. Chop the bell pepper and prep the tofu. 2. Cook the quinoa according to package directions. 3. Sauté the tofu and bell pepper until fully cooked. 4. Combine all ingredients together and serve hot.,2
Shrimp with Carrots and Bread,entree,American,"['shrimp', 'bread', 'carrots', 'teriyaki sauce', 'cheese']",13,19,32,2,medium,False,A straightforward american dish featuring shrimp and carrots.,1. Chop the carrots and prep the shrimp. 2. Cook the bread according to package directions. 3. Sauté the shrimp and carrots until fully cooked. 4. Combine all ingredients together and serve hot.,2
Tofu with Tomatoes and Noodles,entree,Mediterranean,"['tofu', 'noodles', 'tomatoes', 'teriyaki sauce']",8,14,22,2,easy,True,A straightforward mediterranean dish featuring tofu and tomatoes.,1. Chop the tomatoes and prep the tofu. 2. Cook the noodles according to package directions. 3. Sauté the tofu and tomatoes until fully cooked. 4. Combine all ingredients together and serve hot.,2
Simple Shrimp Pasta Bowl,entree,Asian,"['shrimp', 'pasta', 'spinach']",15,23,38,2,medium,False,A straightforward asian dish featuring shrimp and spinach.,1. Chop the spinach and prep the shrimp. 2. Cook the pasta according to package directions. 3. Sauté the shrimp and spinach until fully cooked. 4. Combine all ingredients together and serve hot.,3
Quick Tomatoes and Tofu Plate,entree,American,"['tofu', 'noodles', 'tomatoes', 'teriyaki sauce']",6,21,27,4,easy,True,A straightforward american dish featuring tofu and tomatoes.,1. Chop the tomatoes and prep the tofu. 2. Cook the noodles according to package directions. 3. Sauté the tofu and tomatoes until fully cooked. 4. Combine all ingredients together and serve hot.,2
